dataset_or_slice,method_type,sampling,test_size,retriever,retrieval_setting,retrieval_corpus,k,Recall@10,MAP@10,nDCG@10,Hit@10,RelCount@10,Both@10,SRC-only@10,TGT-only@10,Neither@10,PairMRR,notes
ObliQA,,,2786,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.6678212491026562,0.5056501802284286,0.559388497527518,0.7455132806891601,0.7910983488872936,,,,,,
ObliQA-MP,,,447,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.5127889634601044,0.387489702070239,0.503089886159927,0.9194630872483222,1.1565995525727069,,,,,,
ObliQA-XRef-ADGM-ALL,ALL,ALL,502,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.8017928286852589,0.6253912919749572,0.7243018598812668,0.9800796812749004,1.6035856573705178,0.6235059760956175,0.16733067729083664,0.1892430278884462,0.0199203187250996,0.20493581230633026,
ObliQA-XRef-ADGM-DPEL,DPEL,ALL,173,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.7976878612716763,0.6085959721075328,0.7136856654448058,0.9884393063583815,1.5953757225433527,0.6069364161849711,0.10982658959537572,0.27167630057803466,0.011560693641618497,0.18943251674465542,
ObliQA-XRef-ADGM-SCHEMA,SCHEMA,ALL,329,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.8039513677811551,0.6342228735465817,0.7298842356791626,0.9756838905775076,1.6079027355623101,0.6322188449848024,0.19756838905775076,0.1458966565349544,0.0243161094224924,0.21308800115791027,
ObliQA-XRef-ADGM-DPEL + mixed_difficulty,DPEL,mixed_difficulty,99,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.7777777777777778,0.5980539522206189,0.7032591318761917,0.98989898989899,1.5555555555555556,0.5656565656565656,0.09090909090909091,0.3333333333333333,0.010101010101010102,0.17778178611511944,
ObliQA-XRef-ADGM-DPEL + hard_enriched,DPEL,hard_enriched,74,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.8243243243243243,0.6226994851994851,0.7276346765703842,0.9864864864864865,1.6486486486486487,0.6621621621621622,0.13513513513513514,0.1891891891891892,0.013513513513513514,0.20501930501930496,
ObliQA-XRef-ADGM-SCHEMA + mixed_difficulty,SCHEMA,mixed_difficulty,188,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.8271276595744681,0.6316605454238433,0.7309638660803264,0.9840425531914894,1.6542553191489362,0.6702127659574468,0.17553191489361702,0.13829787234042554,0.015957446808510637,0.22121116176967254,
ObliQA-XRef-ADGM-SCHEMA + hard_enriched,SCHEMA,hard_enriched,141,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.7730496453900709,0.6376393110435664,0.7284447284776111,0.9645390070921985,1.5460992907801419,0.5815602836879432,0.22695035460992907,0.15602836879432624,0.03546099290780142,0.20225712034222665,
