dataset,split,sample_type,sample_size,retriever,k,Recall@10,MAP@10,nDCG@10,Hit@10,RelCount@10,Both@10,SRC-only@10,TGT-only@10,Neither@10,PairMRR,corpus_size,qrels_count,run_rows,notes
ObliQA,test,full_test,2786,bm25,10,0.667821,0.505650,0.559388,0.745513,0.791098,,,,,,13015,3666,27860,"retrieval_setting=controlled_shared_corpus_canonical_bm25; retrieval_corpus=shared_adgm_13015; shared_corpus_path=/Users/tuba.gokhan/Desktop/ObliQA-XRef/runs/adapter_adgm/processed/passage_corpus.jsonl; bm25_backend=obliqaxref.curate.ir.BM25Retriever; bm25_parameters=rank_bm25.BM25Okapi defaults; tokenization=lowercase whitespace split; cutoff_k=10; historical_run_reproduction=false; canonical_repo_bm25=true; qrels_mapping_rate=1.000000; qrels_unmapped_count=0; qrels_map_methods={'passageid_unique': 1839, 'passageid_text': 1825, 'passageid_text_docid_tiebreak': 2}"
ObliQA-MP,test,full_test,447,bm25,10,0.512789,0.387490,0.503090,0.919463,1.156600,,,,,,13015,1061,4470,retrieval_setting=controlled_shared_corpus_canonical_bm25; retrieval_corpus=shared_adgm_13015; shared_corpus_path=/Users/tuba.gokhan/Desktop/ObliQA-XRef/runs/adapter_adgm/processed/passage_corpus.jsonl; bm25_backend=obliqaxref.curate.ir.BM25Retriever; bm25_parameters=rank_bm25.BM25Okapi defaults; tokenization=lowercase whitespace split; cutoff_k=10; historical_run_reproduction=false; canonical_repo_bm25=true; qrels_mapping_rate=1.000000; qrels_unmapped_count=0; qrels_map_methods={'id_direct': 1061}
ObliQA-XRef-ADGM,test,full_test,502,bm25,10,0.801793,0.625391,0.724302,0.980080,1.603586,0.623506,0.167331,0.189243,0.019920,0.204936,13015,1004,5020,retrieval_setting=controlled_shared_corpus_canonical_bm25; retrieval_corpus=shared_adgm_13015; shared_corpus_path=/Users/tuba.gokhan/Desktop/ObliQA-XRef/runs/adapter_adgm/processed/passage_corpus.jsonl; bm25_backend=obliqaxref.curate.ir.BM25Retriever; bm25_parameters=rank_bm25.BM25Okapi defaults; tokenization=lowercase whitespace split; cutoff_k=10; historical_run_reproduction=false; canonical_repo_bm25=true; qrels_mapping_rate=1.000000; qrels_unmapped_count=0
