dataset_or_slice,method_type,sampling,sample_size,retriever,retrieval_setting,retrieval_corpus,k,Recall@10,MAP@10,nDCG@10,Hit@10,RelCount@10,Both@10,SRC-only@10,TGT-only@10,Neither@10,PairMRR,notes
ObliQA,controlled_answer_batch,selected_sample,300,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.6451111111111111,0.48773126102292774,0.5421274149614608,0.7433333333333333,0.79,,,,,,
ObliQA-MP,controlled_answer_batch,selected_sample,300,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.5055000000000001,0.3869437830687831,0.4985814137840962,0.91,1.14,,,,,,
ObliQA-XRef-ADGM,controlled_answer_batch,selected_sample,300,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.8083333333333333,0.6270390211640211,0.7265218120190778,0.9866666666666667,1.6166666666666667,0.63,0.16,0.19666666666666666,0.013333333333333334,0.20721296296296313,
ObliQA-XRef-ADGM-ALL selected,controlled_answer_batch,xref_selected_breakdown,300,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.8083333333333333,0.6270390211640211,0.7265218120190778,0.9866666666666667,1.6166666666666667,0.63,0.16,0.19666666666666666,0.013333333333333334,0.20721296296296313,
DPEL selected,controlled_answer_batch,xref_selected_breakdown,103,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.7961165048543689,0.596609647095084,0.7038762523762501,0.9902912621359223,1.5922330097087378,0.6019417475728155,0.10679611650485436,0.2815533980582524,0.009708737864077669,0.18619972260748954,
SCHEMA selected,controlled_answer_batch,xref_selected_breakdown,197,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.8147208121827412,0.6429487954234148,0.738361876197815,0.9847715736040609,1.6294416243654823,0.6446700507614214,0.18781725888324874,0.15228426395939088,0.015228426395939087,0.21819958101683998,
DPEL + mixed_difficulty selected,controlled_answer_batch,xref_selected_breakdown,59,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.8050847457627118,0.6204735001345171,0.7242120314223358,1.0,1.6101694915254237,0.6101694915254238,0.0847457627118644,0.3050847457627119,0.0,0.19665052461662624,
DPEL + hard_enriched selected,controlled_answer_batch,xref_selected_breakdown,44,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.7840909090909091,0.5646103896103896,0.6766078213826353,0.9772727272727273,1.5681818181818181,0.5909090909090909,0.13636363636363635,0.25,0.022727272727272728,0.1721861471861472,
SCHEMA + mixed_difficulty selected,controlled_answer_batch,xref_selected_breakdown,113,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.8230088495575221,0.6267154797022053,0.7258783333420142,0.9823008849557522,1.6460176991150441,0.6637168141592921,0.17699115044247787,0.1415929203539823,0.017699115044247787,0.2177131619609495,
SCHEMA + hard_enriched selected,controlled_answer_batch,xref_selected_breakdown,84,bm25,controlled_shared_corpus_canonical_bm25,shared_adgm_13015,10,0.8035714285714286,0.6647864701436129,0.7551552136109757,0.9880952380952381,1.6071428571428572,0.6190476190476191,0.20238095238095238,0.16666666666666666,0.011904761904761904,0.2188539304610733,
