dataset,prompt_condition,sample_size,mean_entailment_score,mean_contradiction_score,mean_obligation_coverage_score,mean_composite_score,runtime_seconds,skipped_or_failed_rows,output_path
obliqa,general,300,0.5069540666666666,0.4536941666666667,0.07818700048278429,0.3771489333333333,5612.353831417044,0,/Users/tuba.gokhan/Desktop/ObliQA-XRef/controlled_comparison_pilot/batch_runs/sample_300/repass_outputs/sample300_general_obliqa_bm25_gpt52
obliqa_mp,general,300,0.5805957666666667,0.31152123333333337,0.11399285878445164,0.4610226666666667,7541.852254166966,0,/Users/tuba.gokhan/Desktop/ObliQA-XRef/controlled_comparison_pilot/batch_runs/sample_300/repass_outputs/sample300_general_obliqa_mp_bm25_gpt52
xref_adgm,general,300,0.6129474666666667,0.4883867333333333,0.10872545446944844,0.4110952333333333,5432.194714374957,0,/Users/tuba.gokhan/Desktop/ObliQA-XRef/controlled_comparison_pilot/batch_runs/sample_300/repass_outputs/sample300_general_xref_adgm_bm25_gpt52
obliqa,task_aware,300,0.4881817,0.4771581333333333,0.08137926418041934,0.3641343,5522.206913375063,0,/Users/tuba.gokhan/Desktop/ObliQA-XRef/controlled_comparison_pilot/batch_runs/sample_300/repass_outputs/sample300_task_obliqa_bm25_gpt52
obliqa_mp,task_aware,300,0.5743877333333333,0.2994404,0.12231583602842953,0.4657545,7331.357257083058,0,/Users/tuba.gokhan/Desktop/ObliQA-XRef/controlled_comparison_pilot/batch_runs/sample_300/repass_outputs/sample300_task_obliqa_mp_bm25_gpt52
xref_adgm,task_aware,300,0.5751345,0.48205480000000006,0.11685772509838808,0.4033120333333333,5551.861945624929,0,/Users/tuba.gokhan/Desktop/ObliQA-XRef/controlled_comparison_pilot/batch_runs/sample_300/repass_outputs/sample300_task_xref_adgm_bm25_gpt52
